"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","AB","H","R","HR","RBI","SB","AVG","GP"
"*04yi8*","OF","Spencer Jones","NYY","OF","Min","24","BAL 2<br/>@NYY 3 F","3","R","0","0","0","0","0","0","0","0"
"*05rcg*","OF","Braden Montgomery","CHW","OF","Min","22","CHW 8<br/>@WSH 0 F","4","R","0","0","0","0","0","0","0","0"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Contract","IP","W","SV","K","ERA","WHIP","H","AB","R","RBI","HR","SB","AVG","GP"
"*05xze*","P","Jason Alexander","ATH/HOU","SP","Act","32","HOU 6<br/>@LAA 2 F","5","FA","77.1","4","1","65","4.77","1.371","0","0","0","0","0","0","0","18"
"*04pq4*","P","Kyle Bradish","BAL","SP","Act","29","BAL 2<br/>@NYY 3 F","1","X","32","1","0","47","2.53","1.031","0","0","0","0","0","0","0","6"
"*02i2j*","P","Max Fried","NYY","SP","Act","31","BAL 2<br/>@NYY 3 F","28","X","195.1","19","0","189","2.86","1.101","0","0","0","0","0","0","0","32"
"*06gwk*","P","Payton Tolle","BOS","SP","Act","23","DET 3<br/>@BOS 4 F","5","FA","16.1","0","0","19","6.06","1.592","0","0","0","0","0","0","0","7"
"*04mjn*","P","Eduard Bazardo","SEA","RP","Act","30","LAD 6<br/>@SEA 1 F","5","FA","78.2","5","0","82","2.52","1.017","0","0","0","0","0","0","0","73"
"*03qju*","P","Garrett Cleavinger","TB","RP","Act","31","TB 4<br/>@TOR 13 F","2","X","61.1","2","2","82","2.35","0.946","0","0","0","0","0","0","0","67"
"*02hxd*","P","Danny Coulombe","MIN/TEX","RP","Act","36","TEX 8<br/>@CLE 9 F","5","FA","43","2","2","43","2.30","1.163","0","0","0","0","0","0","0","55"
"*02bqn*","P","Michael Kelly","ATH","RP","Act","33","KC 9<br/>@ATH 2 F","5","FA","39.2","4","2","29","3.18","1.286","0","0","0","0","0","0","0","42"
"*06mi0*","P","Bryan King","HOU","RP","Act","29","HOU 6<br/>@LAA 2 F","5","FA","68","5","2","69","2.78","1.044","0","0","0","0","0","0","0","68"
"*04tji*","P","Edwin Uceta","TB","RP","Act","27","TB 4<br/>@TOR 13 F","5","FA","76","10","1","103","3.79","1.171","0","0","0","0","0","0","0","70"
"*03aac*","P","Walker Buehler","BOS/PHI","SP","Res","31","MIN 1<br/>@PHI 2 F","5","X","126","10","0","92","4.93","1.516","0","0","0","0","0","0","0","26"
"*05xpo*","P","Ryan Bergert","SD/KC","SP","IR","25","KC 9<br/>@ATH 2 F","5","FA","76.1","2","0","73","3.66","1.258","0","0","0","0","0","0","0","19"
"*0421k*","P","Bowden Francis","TOR","SP","IR","29","TB 4<br/>@TOR 13 F","5","25","64","2","0","54","6.05","1.531","0","0","0","0","0","0","0","14"
"*0657l*","P","Jack Perkins","ATH","SP","IR","25","KC 9<br/>@ATH 2 F","5","FA","38.2","3","3","37","4.19","1.164","0","0","0","0","0","0","0","12"

